Zone	Africa/Algiers	0:12:12	-	LMT	1891 Mar 15 0:01
Zone	Atlantic/Cape_Verde	-1:34:04	-	LMT	1907
Zone	Africa/Ndjamena	1:00:12	-	LMT	1912
Zone	Africa/Abidjan	-0:16:08	-	LMT	1912
Zone	Africa/Cairo	2:05:09	-	LMT	1900 Oct
Zone	Africa/Accra	-0:00:52	-	LMT	1918
Zone	Africa/Bissau	-1:02:20	-	LMT	1912 Jan 1
Zone	Africa/Nairobi	2:27:16	-	LMT	1928 Jul
Zone	Africa/Monrovia	-0:43:08	-	LMT	1882
Zone	Africa/Tripoli	0:52:44	-	LMT	1920
Zone	Indian/Mauritius	3:50:00	-	LMT	1907
Zone	Africa/Casablanca	-0:30:20	-	LMT	1913 Oct 26
Zone	Africa/El_Aaiun	-0:52:48	-	LMT	1934 Jan
Zone	Africa/Maputo	2:10:20	-	LMT	1903 Mar
Zone	Africa/Windhoek	1:08:24	-	LMT	1892 Feb 8
Zone	Africa/Lagos	0:13:36	-	LMT	1919 Sep
Zone	Indian/Reunion	3:41:52	-	LMT	1911 Jun
Zone	Indian/Mahe	3:41:48	-	LMT	1906 Jun
Zone	Africa/Johannesburg	1:52:00	-	LMT	1892 Feb 8
Zone	Africa/Khartoum	2:10:08	-	LMT	1931
Zone	Africa/Tunis	0:40:44	-	LMT	1881 May 12
Zone	Antarctica/Casey	0	-	zzz	1969
Zone	Antarctica/Davis	0	-	zzz	1957 Jan 13
Zone	Antarctica/Mawson	0	-	zzz	1954 Feb 13
Zone	Indian/Kerguelen	0	-	zzz	1950
Zone	Antarctica/DumontDUrville	0	-	zzz	1947
Zone	Antarctica/Syowa	0	-	zzz	1957 Jan 29
Zone	Antarctica/Troll	0	-	zzz	2005 Feb 12
Zone	Antarctica/Vostok	0	-	zzz	1957 Dec 16
Zone	Antarctica/Rothera	0	-	zzz	1976 Dec 1
Zone	Asia/Kabul	4:36:48	-	LMT	1890
Zone	Asia/Yerevan	2:58:00	-	LMT	1924 May 2
Zone	Asia/Baku	3:19:24	-	LMT	1924 May 2
Zone	Asia/Dhaka	6:01:40	-	LMT	1890
Zone	Asia/Thimphu	5:58:36	-	LMT	1947 Aug 15
Zone	Indian/Chagos	4:49:40	-	LMT	1907
Zone	Asia/Brunei	7:39:40	-	LMT	1926 Mar
Zone	Asia/Rangoon	6:24:40	-	LMT	1880
Zone	Asia/Shanghai	8:05:43	-	LMT	1901
Zone	Asia/Urumqi	5:50:20	-	LMT	1928
Zone	Asia/Hong_Kong	7:36:42	-	LMT	1904 Oct 30
Zone	Asia/Taipei	8:06:00	-	LMT	1896 Jan 1
Zone	Asia/Macau	7:34:20	-	LMT	1912 Jan 1
Zone	Asia/Nicosia	2:13:28	-	LMT	1921 Nov 14
Zone	Asia/Tbilisi	2:59:11	-	LMT	1880
Zone	Asia/Dili	8:22:20	-	LMT	1912 Jan 1
Zone	Asia/Kolkata	5:53:28	-	LMT	1880
Zone	Asia/Jakarta	7:07:12	-	LMT	1867 Aug 10
Zone	Asia/Pontianak	7:17:20	-	LMT	1908 May
Zone	Asia/Makassar	7:57:36	-	LMT	1920
Zone	Asia/Jayapura	9:22:48	-	LMT	1932 Nov
Zone	Asia/Tehran	3:25:44	-	LMT	1916
Zone	Asia/Baghdad	2:57:40	-	LMT	1890
Zone	Asia/Jerusalem	2:20:54	-	LMT	1880
Zone	Asia/Tokyo	9:18:59	-	LMT	1887 Dec 31 15:00u
Zone	Asia/Amman	2:23:44	-	LMT	1931
Zone	Asia/Almaty	5:07:48	-	LMT	1924 May 2
Zone	Asia/Qyzylorda	4:21:52	-	LMT	1924 May 2
Zone	Asia/Aqtobe	3:48:40	-	LMT	1924 May 2
Zone	Asia/Aqtau	3:21:04	-	LMT	1924 May 2
Zone	Asia/Oral	3:25:24	-	LMT	1924 May 2
Zone	Asia/Bishkek	4:58:24	-	LMT	1924 May 2
Zone	Asia/Seoul	8:27:52	-	LMT	1908 Apr 1
Zone	Asia/Pyongyang	8:23:00	-	LMT	1908 Apr 1
Zone	Asia/Beirut	2:22:00	-	LMT	1880
Zone	Asia/Kuala_Lumpur	6:46:46	-	LMT	1901 Jan 1
Zone	Asia/Kuching	7:21:20	-	LMT	1926 Mar
Zone	Indian/Maldives	4:54:00	-	LMT	1880
Zone	Asia/Hovd	6:06:36	-	LMT	1905 Aug
Zone	Asia/Ulaanbaatar	7:07:32	-	LMT	1905 Aug
Zone	Asia/Choibalsan	7:38:00	-	LMT	1905 Aug
Zone	Asia/Kathmandu	5:41:16	-	LMT	1920
Zone	Asia/Karachi	4:28:12	-	LMT	1907
Zone	Asia/Gaza	2:17:52	-	LMT	1900 Oct
Zone	Asia/Hebron	2:20:23	-	LMT	1900 Oct
Zone	Asia/Manila	-15:56:00	-	LMT	1844 Dec 31
Zone	Asia/Qatar	3:26:08	-	LMT	1920
Zone	Asia/Riyadh	3:06:52	-	LMT	1947 Mar 14
Zone	Asia/Singapore	6:55:25	-	LMT	1901 Jan 1
Zone	Asia/Colombo	5:19:24	-	LMT	1880
Zone	Asia/Damascus	2:25:12	-	LMT	1920
Zone	Asia/Dushanbe	4:35:12	-	LMT	1924 May 2
Zone	Asia/Bangkok	6:42:04	-	LMT	1880
Zone	Asia/Ashgabat	3:53:32	-	LMT	1924 May 2
Zone	Asia/Dubai	3:41:12	-	LMT	1920
